FlightDate,FlightTime,Airport,FlightRange,BagNumber,MaxSpendingRange,DropOffRange
1/18/2025,05:30 PM,LAX,1,1,25,0.5
1/19/2025,06:30 PM,LAX,2,2,54,0.8
1/19/2025,07:15 PM,ONT,1,3,41,0.3
1/20/2025,12:25 AM,ONT,1,2,97,0.9
1/19/2025,12:30 AM,ONT,0.5,1,96,0.7
1/20/2025,10:15 AM,ONT,0.5,1,66,0.4
1/20/2025,10:30 AM,ONT,1,1,55,1.1
1/20/2025,01:30 PM,ONT,0.25,1,28,0.8
3/22/2024,11:54 PM,ONT,0.5,1,47,1.8
3/23/2024,04:06 PM,LAX,1,3,58,1.3
3/23/2024,10:30 AM,LAX,1,3,43,0
3/21/2024,09:55 PM,LAX,0.5,3,36,0.4
3/21/2024,09:55 PM,LAX,3,1,21,0.9
3/23/2024,02:20 PM,LAX,3,2,29,0.3
12/13/2024,12:58 AM,LAX,0.5,2,29,0.7
12/14/2024,12:57 PM,LAX,1,1,23,0.5
12/11/2024,12:53 PM,ONT,3,2,33,0.5
12/1/2024,12:52 PM,ONT,3,3,40,0.3
12/12/2024,12:50 PM,ONT,2,1,38,0.2
12/14/2024,12:50 PM,ONT,2,0,56,0.5
12/12/2024,12:50 PM,ONT,0.5,1,42,0.4
3/23/2024,12:49 PM,LAX,2,1,58,0.8
1/18/2025,12:45 PM,LAX,0.5,2,59,0.5
1/20/2025,12:45 PM,LAX,1,3,47,0.1
1/18/2025,12:45 AM,ONT,0.25,1,35,0
1/20/2025,12:40 PM,LAX,0.5,2,28,0.9
1/19/2025,12:40 PM,ONT,2,1,22,0.8
1/18/2025,12:30 PM,LAX,1,1,46,0.5
1/20/2025,12:30 PM,LAX,0.5,1,38,0.9
1/18/2025,12:30 PM,ONT,2,2,25,0.8
1/20/2025,12:30 PM,ONT,3,1,37,0
3/14/2024,12:30 PM,LAX,3,3,40,0.6
3/15/24,12:30 PM,LAX,1,1,34,0.3
1/20/2025,12:30 PM,ONT,1,2,57,0.6
1/20/2005,12:26 PM,LAX,0.5,2,26,0.9
1/19/2025,12:20 PM,ONT,4,2,32,0.1
1/18/2025,12:15 PM,LAX,0.5,2,50,0.2
1/18/2025,12:11 PM,ONT,0.5,1,44,0.8
1/19/2025,12:11 PM,ONT,3,1,58,0.6
3/23/2024,12:10 AM,ONT,2,4,51,0.9
3/23/2024,12:05 PM,ONT,0.25,5,29,0.5
3/23/2024,12:05 PM,ONT,3,1,39,0.1
12/14/2024,12:05 PM,ONT,2,2,39,0.4
3/16/2024,12:05 AM,LAX,3,3,54,0.4
12/2/2024,12:04 AM,ONT,1,3,58,0.4
1/18/2025,12:00 PM,LAX,1,3,45,0
1/19/2025,12:00 PM,LAX,0.25,1,37,0.1
1/19/2025,12:00 PM,LAX,1,2,28,0.3
1/21/2025,12:00 PM,LAX,4,1,49,0
1/20/2025,12:00 PM,ONT,3,1,26,0.6
12/1/2024,12:00 PM,ONT,2,4,26,0.4
1/18/2025,11:59 PM,ONT,2,2,21,0.3
1/20/2025,11:58 AM,ONT,1,1,32,0
12/13/2024,11:56 PM,LAX,1,4,35,0.9
3/17/2024,11:55 PM,LAX,0.5,3,31,0.6
